pageName,postText,postDate,postLink
HKS2017,"นักท่องเที่ยวอ้างถูกลวงไปรุมทำร้ายกลางเขาค้อ อาวุธครบมือ คดีไม่คืบ หวั่นไม่ได้รับความเป็นธรรม

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#รุมทำร้าย #เขาค้อ #โหนกระแส",2024-11-21T13:30:02.000Z,https://www.facebook.com/100063145307143/posts/932910592157109
HKS2017,"เจ้าหน้าที่บุกสำนักสงฆ์ป่าศิริจันทร์  ในจังหวัดกำแพงเพชร สถานที่ที่มีการสอนวิชาหูทิพย์ ตาทิพย์ และให้ลูกศิษย์นั่งสมาธิกับศพ

เจ้าหน้าที่พบศพคนตายรวมทั้งสิ้น 12 ร่าง เบื้องต้นได้เก็บดีเอ็นเอ นำไปพิสูจน์อัตลักษณ์บุคคล และเตรียมประสานญาติให้รับร่างไปประกอบพิธีทางศาสนาต่อไป

#หูทิพย์ตาทิพย์ #นั่งสมาธิกับศพ #โหนกระแส",2024-11-21T13:00:31.000Z,https://www.facebook.com/100063145307143/posts/932892948825540
ejan2016,โผล่มาจากไหน?,2024-11-21T13:42:41.000Z,https://www.facebook.com/100081883222566/posts/566125806126855
ejan2016,"ห้ามพลาดดดดด ! 
งานนี้อิ่มด้วย อร่อยด้วย แถมฟังเพลงไปด้วย !
22 พ.ย.  คิง พิเชษฐ์ (King The Voice)
23 พ.ย.  มาเรียม B5
24 พ.ย.  กัน ชาลี (Guncharlie) 
มาเจอกันในงาน Thailand Food Travel Mart 2024 วันที่ 22-24 พ.ย. 67 ที่ Phenix Food Wholesale Hub ค่ะ #ที่สุดแห่งปีของวงการอาหารไทยร้านดังจากทั่วประเทศ

มีเวทีเสวนา กระทบไหล่คนดังวงการอาหาร
ไก่ย่าง 100 ล้าน คุณสุเมธ พระราม 9 ไก่ย่าง
POKPOK Start up food Delivery ส่งอาหารข้ามโซน
ส้มตำคุณกัญจณ์ กว่าจะเป็นส้มตำมิชลิน 6 ปีซ้อน

แฟนคลับ รอเจอได้เลยค่า",2024-11-21T13:30:58.000Z,https://www.facebook.com/100081883222566/posts/566119382794164
ejan2016,หมอเบนซ์ เตือนภัย! สาเหตุ สมรักษ์ คำสิงห์ หูดับ ต้องใช้เครื่องช่วยฟังตลอดชีวิต,2024-11-21T13:15:21.000Z,https://www.facebook.com/100081883222566/posts/566110452795057
HKS2017,"‘ขนม ศศิกานต์’ ประกาศเลิก ‘ครูเต้ย’ เผยมีปัญหาที่เกิดขึ้นมานาน วอนแฟนๆ อย่าโทษใคร

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#ขนมศศิกานต์ #ครูเต้ยอภิวัฒน์ #โหนกระแส",2024-11-21T12:30:04.000Z,https://www.facebook.com/100063145307143/posts/932877518827083
HKS2017,"DSI-ปปง. เปิดให้ผู้เสียหาย ‘ดิไอคอน’ ยื่นคำร้องขอคุ้มครองสิทธิ์รับคืนหรือชดใช้คืนทรัพย์สิน

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#ดิไอคอน #DSI #ปปง #เฉลี่ยทรัพย์ #โหนกระแส",2024-11-21T12:00:14.000Z,https://www.facebook.com/100063145307143/posts/932860858828749
HKS2017,"‘สนธิ-ปานเทพ’ ยื่นสอบมรรยาท ‘ทนายตั้ม-ทนายเดชา’

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#สนธิลิ้มทองกุล #ปานเทพพัวพงษ์พันธ์ #ทนายตั้ม #สภาทนายความฯ #มรรยาททนาย #โหนกระแส",2024-11-21T11:30:03.000Z,https://www.facebook.com/100063145307143/posts/932845445496957
newsth.18,"จากปาก ‘อั้ม อธิชาติ’ ตอบแล้ว ถูกโยงพระเอกตัวท็อปนอกใจภรรยานักร้องดังยุค 90
.
อ่านต่อใต้คอมเมนต์👇",2024-11-20T06:38:13.000Z,https://www.facebook.com/100063738901281/posts/1143182377816382
newsth.18,"‘โบว์ เมลดา’ เผยเป้าหมายใหม่ อยากแต่งงาน เพราะเหตุนี้
.
อ่านต่อใต้คอมเมนต์👇",2024-11-20T03:45:52.000Z,https://www.facebook.com/100063738901281/posts/1143098524491434
